英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career,Full_Career_English,国籍,SNS_Instagram,SNS_Twitter,SNS_Facebook,選手名_カタカナ,リーグ
Adré SMITH,アドレ・スミス,LO,Stormers,200.0,123.0,1997.06.04,,,,,A,https://all.rugby/player/adre-smith,Blue Bulls (2017 - 2019) -> Griquas (2019 - 2020) -> Stormers (2020 - 2020) -> Griquas (2020 - 2020) -> Stormers (2021 - 2021) -> Griquas (2021 - 2021) -> Stormers (2021 - 2024) -> Toyota Verblitz (2024 - 2024) -> Stormers (2025 - 2025) -> Toyota Verblitz (2025 - 2025) -> Stormers (2025 - 2026),,,https://all.rugby/player/adre-smith,Blue Bulls (2017 - 2019) -> Griquas (2019 - 2020) -> Stormers (2020 - 2020) -> Griquas (2020 - 2020) -> Stormers (2021 - 2021) -> Griquas (2021 - 2021) -> Stormers (2021 - 2024) -> Toyota Verblitz (2024 - 2024) -> Stormers (2025 - 2025) -> Toyota Verblitz (2025 - 2025) -> Stormers (2025 - 2026),,,,,,,,アドレ・スミス,urc
Richard KRIEL,リチャード・クリエル,FB,Lions,194.0,95.0,2000.07.07,,,,,A,https://all.rugby/player/richard-kriel,Blue Bulls (2018 - 2019) -> Bulls (2019 - 2020) -> Blue Bulls (2020 - 2021) -> Bulls (2021 - 2022) -> Zebre Parma (2022 - 2023) -> Lions Rugby (2023 - 2026),,,https://all.rugby/player/richard-kriel,Blue Bulls (2018 - 2019) -> Bulls (2019 - 2020) -> Blue Bulls (2020 - 2021) -> Bulls (2021 - 2022) -> Zebre Parma (2022 - 2023) -> Lions Rugby (2023 - 2026),,,,,,,,リチャード・クリエル,urc
Marnus POTGIETER,マルナス・ポトヒーター,WTB,Sharks,188.0,106.0,1999.06.20,,,,,A,https://all.rugby/player/marnus-potgieter,Blue Bulls (2018 - 2019) -> Bulls (2019 - 2021) -> Sharks (2021 - 2026),,,https://all.rugby/player/marnus-potgieter,Blue Bulls (2018 - 2019) -> Bulls (2019 - 2021) -> Sharks (2021 - 2026),,,,,,,,マルナス・ポトヒーター,urc
Ross BRAUDE,ロス・ブロード,SH,Sharks,168.0,83.0,2000.01.18,,,,,A,https://all.rugby/player/ross-braude,Blue Bulls (2019 - 2020) -> Toronto Arrows (2020 - 2023) -> Pumas (2023 - 2025) -> Sharks (2025 - 2026),South Africa,South Africa,https://all.rugby/player/ross-braude,Blue Bulls (2019 - 2020) -> Toronto Arrows (2020 - 2023) -> Pumas (2023 - 2025) -> Sharks (2025 - 2026),,,,,,,,ロス・ブロード,urc
WJ STEENKAMP,WJ・ステーンカンプ,FL/No8,Lions,190.0,107.0,2000.09.28,,,,,A,https://all.rugby/player/wj-steenkamp,Blue Bulls (2020 - 2021) -> Bulls (2021 - 2024) -> Lions Rugby (2024 - 2026),,,https://all.rugby/player/wj-steenkamp,Blue Bulls (2020 - 2021) -> Bulls (2021 - 2024) -> Lions Rugby (2024 - 2026),,,,,,,,WJ・ステーンカンプ,urc
Reinhardt LUDWIG,ラインハルト・ルートヴィヒ,LO,Bulls,198.0,110.0,2002.08.27,,,,,A,https://all.rugby/player/reinhardt-ludwig,Blue Bulls (2020 - 2021) -> Bulls (2021 - 2026),,,https://all.rugby/player/reinhardt-ludwig,Blue Bulls (2020 - 2021) -> Bulls (2021 - 2026),,,,,,,,ラインハルト・ルートヴィヒ,urc
Tiaan FOURIE,ティアン・フーリー,SH,Sharks,173.0,78.0,2002.04.22,,,,,A,https://all.rugby/player/tiaan-fourie,Blue Bulls (2020 - 2022) -> Natal Sharks (2022 - 2023) -> Sharks (2023 - 2026),,,https://all.rugby/player/tiaan-fourie,Blue Bulls (2020 - 2022) -> Natal Sharks (2022 - 2023) -> Sharks (2023 - 2026),,,,,,,,ティアン・フーリー,urc
Seb LOMBARD,セブ・ロンバード,PR,Lions,190.0,126.0,2002.10.07,,,,,A,https://all.rugby/player/seb-lombard,Blue Bulls (2021 - 2022) -> Bulls (2022 - 2024) -> Golden Lions (2024 - 2024) -> Bulls (2025 - 2025) -> Golden Lions (2025 - 2025) -> Lions Rugby (2025 - 2026),,,https://all.rugby/player/seb-lombard,Blue Bulls (2021 - 2022) -> Bulls (2022 - 2024) -> Golden Lions (2024 - 2024) -> Bulls (2025 - 2025) -> Golden Lions (2025 - 2025) -> Lions Rugby (2025 - 2026),,,,,,,,セブ・ロンバード,urc
Cameron HANEKOM,キャメロン・ハネコム,FL/No8,Bulls,193.0,110.0,2002.05.10,,,,,A,https://all.rugby/player/cameron-hanekom,Blue Bulls (2021 - 2022) -> Bulls (2022 - 2026),South Africa,South Africa,https://all.rugby/player/cameron-hanekom,Blue Bulls (2021 - 2022) -> Bulls (2022 - 2026),,,,,,,,キャメロン・ハネコム,urc
Ruan DELPORT,ルアン・デルポート,FL/No8,Lions,200.0,109.0,2002.07.03,,,,,A,https://all.rugby/player/ruan-delport,Blue Bulls (2021 - 2022) -> Lions Rugby (2022 - 2026),,,https://all.rugby/player/ruan-delport,Blue Bulls (2021 - 2022) -> Lions Rugby (2022 - 2026),,,,,,,,ルアン・デルポート,urc
Katlego LETEBELE,カレゴ・レテベレ,CTB,Bulls,187.0,92.0,2003.11.18,,,,,A,https://all.rugby/player/katlego-letebele,Blue Bulls (2021 - 2024) -> Bulls (2024 - 2026),,,https://all.rugby/player/katlego-letebele,Blue Bulls (2021 - 2024) -> Bulls (2024 - 2026),,,,,,,,カレゴ・レテベレ,urc
JF VAN HEERDEN,JF-ファン・ヘールデン,LO,Bulls,200.0,122.0,2004..,,,,,A,https://all.rugby/player/jf-van-heerden,Blue Bulls (2022 - 2023) -> Bulls (2023 - 2026),,,https://all.rugby/player/jf-van-heerden,Blue Bulls (2022 - 2023) -> Bulls (2023 - 2026),,,,,,,,JF-ファン・ヘールデン,urc
Mawande MDANDA,マワンデ・ムダンダ,PR,Sharks,189.0,132.0,2003.03.09,,,,,A,https://all.rugby/player/mawande-mdanda,Blue Bulls (2022 - 2023) -> Natal Sharks (2023 - 2024) -> Sharks (2024 - 2026),,,https://all.rugby/player/mawande-mdanda,Blue Bulls (2022 - 2023) -> Natal Sharks (2023 - 2024) -> Sharks (2024 - 2026),,,,,,,,マワンデ・ムダンダ,urc
Jaco GROBBELAAR,ヤコ・グロブラール,FL/No8,Bulls,198.0,109.0,2005..,,,,,A,https://all.rugby/player/jaco-grobbelaar,Blue Bulls (2023 - 2024) -> Bulls (2024 - 2026),,,https://all.rugby/player/jaco-grobbelaar,Blue Bulls (2023 - 2024) -> Bulls (2024 - 2026),,,,,,,,ヤコ・グロブラール,urc
Ruan SWART,ルアン・スワート,PR,Bulls,180.0,120.0,2004..,,,,,A,https://all.rugby/player/ruan-swart,Blue Bulls (2023 - 2025) -> Bulls (2025 - 2026),,,https://all.rugby/player/ruan-swart,Blue Bulls (2023 - 2025) -> Bulls (2025 - 2026),,,,,,,,ルアン・スワート,urc
Steven NEL,スティーヴン・ネル,SH,Bulls,178.0,78.0,2004..,,,,,A,https://all.rugby/player/steven-nel,Blue Bulls (2024 - 2025) -> Bulls (2025 - 2026),,,https://all.rugby/player/steven-nel,Blue Bulls (2024 - 2025) -> Bulls (2025 - 2026),,,,,,,,スティーヴン・ネル,urc
Jamison GIBSON-PARK,ジェイミソン-ギブソン＝パーク,SH,Leinster,175.0,83.0,1992.02.23,,,,,A,https://all.rugby/player/jamison-gibson-park,Blues (2013 - 2015) -> Hurricanes (2015 - 2016) -> Leinster Rugby (2016 - 2026),New Zealand,New Zealand,https://all.rugby/player/jamison-gibson-park,Blues (2013 - 2015) -> Hurricanes (2015 - 2016) -> Leinster Rugby (2016 - 2026),,,,,,,,ジェイミソン-ギブソン＝パーク,urc
Rieko IOANE,リーコ・イオアネ,CTB,Leinster,189.0,103.0,1997.03.18,,,,,A,https://all.rugby/player/rieko-ioane,Blues (2015 - 2019) -> Auckland (2019 - 2019) -> Blues (2020 - 2020) -> Auckland (2020 - 2020) -> Blues (2020 - 2024) -> Auckland (2024 - 2024) -> Blues (2025 - 2025) -> Auckland (2025 - 2025) -> Leinster Rugby (2025 - 2026),New Zealand,New Zealand,https://all.rugby/player/rieko-ioane,Blues (2015 - 2019) -> Auckland (2019 - 2019) -> Blues (2020 - 2020) -> Auckland (2020 - 2020) -> Blues (2020 - 2024) -> Auckland (2024 - 2024) -> Blues (2025 - 2025) -> Auckland (2025 - 2025) -> Leinster Rugby (2025 - 2026),,,,,,,,リーコ・イオアネ,urc
Scott SCRAFTON,Scott SCRAFTON,LO,Trévise,200.0,120.0,1993.04.18,,,,,A,https://all.rugby/player/scott-scrafton,Blues (2015 - 2019) -> Hurricanes (2019 - 2019) -> Auckland (2019 - 2019) -> Hurricanes (2020 - 2020) -> Auckland (2020 - 2020) -> Hurricanes (2020 - 2020) -> Auckland (2020 - 2020) -> Hurricanes (2021 - 2021) -> Auckland (2021 - 2021) -> Hurricanes (2021 - 2022) -> Benetton Rugby Trévise (2022 - 2026),,,https://all.rugby/player/scott-scrafton,Blues (2015 - 2019) -> Hurricanes (2019 - 2019) -> Auckland (2019 - 2019) -> Hurricanes (2020 - 2020) -> Auckland (2020 - 2020) -> Hurricanes (2020 - 2020) -> Auckland (2020 - 2020) -> Hurricanes (2021 - 2021) -> Auckland (2021 - 2021) -> Hurricanes (2021 - 2022) -> Benetton Rugby Trévise (2022 - 2026),,,,,,,,スコット・スクラフトン,
Boris Wenger,,Prop,Harlequins,,,2002.07.01,23,,,,,,,,Harlequins (2025 - ),,,,Harlequins (2025 - ),,,,,,,premiership
Mikey JONES,Mikey JONES,PR,Edimbourg,181.0,110.0,2002.07.08,,,,,A,https://all.rugby/player/mike-jones,Boroughmuir RFC (2020 - 2021) -> Edimbourg Rugby (2021 - 2022) -> Ampthill Rugby (2022 - 2022) -> Edimbourg Rugby (2023 - 2023) -> Ampthill Rugby (2023 - 2023) -> Edimbourg Rugby (2023 - 2026),,,https://all.rugby/player/mike-jones,Boroughmuir RFC (2020 - 2021) -> Edimbourg Rugby (2021 - 2022) -> Ampthill Rugby (2022 - 2022) -> Edimbourg Rugby (2023 - 2023) -> Ampthill Rugby (2023 - 2023) -> Edimbourg Rugby (2023 - 2026),,,,,,,,マイキー・ジョーンズ,
Cammy SCOTT,Cammy SCOTT,SO,Edimbourg,181.0,83.0,2001.09.08,,,,,A,https://all.rugby/player/cameron-scott,Boroughmuir RFC (2020 - 2021) -> Southern Knights (2021 - 2022) -> London Scottish (2022 - 2022) -> Edimbourg Rugby (2022 - 2022) -> London Scottish (2023 - 2023) -> Edimbourg Rugby (2023 - 2026),,,https://all.rugby/player/cameron-scott,Boroughmuir RFC (2020 - 2021) -> Southern Knights (2021 - 2022) -> London Scottish (2022 - 2022) -> Edimbourg Rugby (2022 - 2022) -> London Scottish (2023 - 2023) -> Edimbourg Rugby (2023 - 2026),,,,,,,,カミー・スコット,
Liam MCCONNELL,Liam MCCONNELL,FL/No8,Edimbourg,194.0,106.0,2004..,,,,,A,https://all.rugby/player/liam-mcconnell,Boroughmuir RFC (2021 - 2022) -> Edimbourg Rugby (2022 - 2026),,,https://all.rugby/player/liam-mcconnell,Boroughmuir RFC (2021 - 2022) -> Edimbourg Rugby (2022 - 2026),,,,,,,,リアム・マッコーネル,
Duncan MUNN,ダンカン・マン,CTB,Glasgow,191.0,94.0,2003.05.28,,,,,A,https://all.rugby/player/duncan-munn,Boroughmuir RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026),,,https://all.rugby/player/duncan-munn,Boroughmuir RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026),,,,,,,,ダンカン・マン,urc
Ollie BLYTH-LAFFERTY,Ollie BLYTH-LAFFERTY,PR,Edimbourg,193.0,136.0,2006..,,,,,A,https://all.rugby/player/ollie-blyth-lafferty,Boroughmuir RFC (2022 - 2023) -> Edimbourg Rugby (2023 - 2026),,,https://all.rugby/player/ollie-blyth-lafferty,Boroughmuir RFC (2022 - 2023) -> Edimbourg Rugby (2023 - 2026),,,,,,,,オリー・ブライス＝ラファーティ,
Ryan SMITH,ライアン・スミス,LO,Ospreys,199.0,120.0,1996.09.30,,,,,A,https://all.rugby/player/ryan-smith-10493,Brisbane City (2018 - 2019) -> Queensland Reds (2019 - 2025) -> Ospreys (2025 - 2026),,,https://all.rugby/player/ryan-smith-10493,Brisbane City (2018 - 2019) -> Queensland Reds (2019 - 2025) -> Ospreys (2025 - 2026),,,,,,,,ライアン・スミス,urc
Andy UREN,Andy UREN,SH,Trévise,178.0,93.0,1996.02.20,,,,,A,https://all.rugby/player/andy-uren,Bristol Bears (2016 - 2023) -> Benetton Rugby Trévise (2023 - 2026),,,https://all.rugby/player/andy-uren,Bristol Bears (2016 - 2023) -> Benetton Rugby Trévise (2023 - 2026),,,,,,,,アンディ・ユレン,
Joe JOYCE,ジョー・ジョイス,LO,Connacht,196.0,119.0,1994.02.07,,,,,A,https://all.rugby/player/joe-joyce,Bristol Bears (2016 - 2023) -> Connacht Rugby (2023 - 2026),,,https://all.rugby/player/joe-joyce,Bristol Bears (2016 - 2023) -> Connacht Rugby (2023 - 2026),,,,,,,,ジョー・ジョイス,urc
Ioan LLOYD,イオアン-ロイド,SO,Cardiff,179.0,86.0,2001.04.05,,,,,A,https://all.rugby/player/ioan-lloyd,Bristol Bears (2018 - 2023) -> Scarlets (2023 - 2025) -> Cardiff Rugby (2025 - 2026),Wales,Wales,https://all.rugby/player/ioan-lloyd,Bristol Bears (2018 - 2023) -> Scarlets (2023 - 2025) -> Cardiff Rugby (2025 - 2026),,,,,,,,イオアン-ロイド,urc
Callum SHEEDY,カラム-シーディー,SO,Cardiff,177.0,88.0,1995.10.28,,,,,A,https://all.rugby/player/callum-sheedy,Bristol Bears (2018 - 2024) -> Cardiff Rugby (2024 - 2026),Wales,Wales,https://all.rugby/player/callum-sheedy,Bristol Bears (2018 - 2024) -> Cardiff Rugby (2024 - 2026),,,,,,,,カラム-シーディー,urc
Alex GROVES,アレックス・グローヴス,LO,Stormers,206.0,120.0,2001.01.05,,,,,A,https://all.rugby/player/alex-groves,Bristol Bears (2019 - 2021) -> Hartpury RFC (2021 - 2021) -> Sale Sharks (2021 - 2021) -> Bristol Bears (2022 - 2022) -> Hartpury RFC (2022 - 2022) -> Sale Sharks (2022 - 2024) -> Caldy RFC (2024 - 2024) -> Western Province (2024 - 2024) -> Sale Sharks (2025 - 2025) -> Caldy RFC (2025 - 2025) -> Western Province (2025 - 2025) -> Scarlets (2025 - 2025) -> Stormers (2025 - 2025) -> Scarlets (2026 - 2026) -> Stormers (2026 - 2026),,,https://all.rugby/player/alex-groves,Bristol Bears (2019 - 2021) -> Hartpury RFC (2021 - 2021) -> Sale Sharks (2021 - 2021) -> Bristol Bears (2022 - 2022) -> Hartpury RFC (2022 - 2022) -> Sale Sharks (2022 - 2024) -> Caldy RFC (2024 - 2024) -> Western Province (2024 - 2024) -> Sale Sharks (2025 - 2025) -> Caldy RFC (2025 - 2025) -> Western Province (2025 - 2025) -> Scarlets (2025 - 2025) -> Stormers (2025 - 2025) -> Scarlets (2026 - 2026) -> Stormers (2026 - 2026),,,,,,,,アレックス・グローヴス,urc
Jac LLOYD,ジャック-ロイド,SO,Dragons,174.0,81.0,2002.09.28,,,,,A,https://all.rugby/player/jac-lloyd,Bristol Bears (2019 - 2022) -> Hartpury RFC (2022 - 2022) -> Sydney University Football Club (2022 - 2022) -> Bristol Bears (2023 - 2023) -> Hartpury RFC (2023 - 2023) -> Sydney University Football Club (2023 - 2023) -> Newport RFC (2023 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/jac-lloyd,Bristol Bears (2019 - 2022) -> Hartpury RFC (2022 - 2022) -> Sydney University Football Club (2022 - 2022) -> Bristol Bears (2023 - 2023) -> Hartpury RFC (2023 - 2023) -> Sydney University Football Club (2023 - 2023) -> Newport RFC (2023 - 2025) -> Dragons RFC (2025 - 2026),,,,,,,,ジャック-ロイド,urc
Chay MULLINS,チェイ・マリンズ,FB,Connacht,193.0,95.0,2002.01.23,,,,,A,https://all.rugby/player/chay-mullins,Bristol Bears (2020 - 2022) -> Connacht Rugby (2022 - 2026),,,https://all.rugby/player/chay-mullins,Bristol Bears (2020 - 2022) -> Connacht Rugby (2022 - 2026),,,,,,,,チェイ・マリンズ,urc
Macenzzie DUNCAN,マケンジー・ダンカン,FL/No8,Glasgow,183.0,106.0,2003.02.25,,,,,A,https://all.rugby/player/macenzzie-duncan,Bristol Bears (2021 - 2023) -> Hartpury RFC (2023 - 2023) -> Bristol Bears (2024 - 2024) -> Hartpury RFC (2024 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/macenzzie-duncan,Bristol Bears (2021 - 2023) -> Hartpury RFC (2023 - 2023) -> Bristol Bears (2024 - 2024) -> Hartpury RFC (2024 - 2024) -> Glasgow Warriors (2024 - 2026),,,,,,,,マケンジー・ダンカン,urc
Mack HANSEN,マック・ハンセン,FB,Connacht,188.0,89.0,1998.03.27,,,,,A,https://all.rugby/player/mackenzie-hansen,Brumbies (2018 - 2021) -> Connacht Rugby (2021 - 2026),Australia,Australia,https://all.rugby/player/mackenzie-hansen,Brumbies (2018 - 2021) -> Connacht Rugby (2021 - 2026),,,,,,,,マック・ハンセン,urc
Colm REILLY,コルム・ライリー,SH,Connacht,178.0,78.0,1999.08.09,,,,,A,https://all.rugby/player/colm-reilly,Buccaneers RFC (2019 - 2020) -> Connacht Rugby (2020 - 2026),,,https://all.rugby/player/colm-reilly,Buccaneers RFC (2019 - 2020) -> Connacht Rugby (2020 - 2026),,,,,,,,コルム・ライリー,urc
Jan SERFONTEIN,ヤン-サーフォンテイン,CTB,Bulls,187.0,97.0,1993.04.15,,,,,A,https://all.rugby/player/jan-serfontein,Bulls (2012 - 2017) -> Montpellier Hérault Rugby (2017 - 2025) -> Bulls (2025 - 2026),South Africa,South Africa,https://all.rugby/player/jan-serfontein,Bulls (2012 - 2017) -> Montpellier Hérault Rugby (2017 - 2025) -> Bulls (2025 - 2026),,,,,,,,ヤン-サーフォンテイン,urc
Bongi MBONAMBI,ボンギ-ンボナンビ,HO,Sharks,175.0,118.0,1991.01.07,,,,,A,https://all.rugby/player/bongi-mbonambi,Bulls (2013 - 2014) -> Stormers (2014 - 2021) -> Sharks (2021 - 2026),South Africa,South Africa,https://all.rugby/player/bongi-mbonambi,Bulls (2013 - 2014) -> Stormers (2014 - 2021) -> Sharks (2021 - 2026),,,,,,,,ボンギ-ンボナンビ,urc
Marvin ORIE,マーヴィン・オリー,LO,Sharks,198.0,118.0,1993.02.15,,,,,A,https://all.rugby/player/marvin-orie,Bulls (2013 - 2016) -> Lions Rugby (2016 - 2019) -> Ospreys (2019 - 2019) -> Lions Rugby (2019 - 2019) -> Ospreys (2020 - 2020) -> Lions Rugby (2020 - 2020) -> Stormers (2020 - 2023) -> Union Sportive Arlequins Perpignanais (2023 - 2024) -> Blue Bulls (2024 - 2024) -> Union Sportive Arlequins Perpignanais (2025 - 2025) -> Blue Bulls (2025 - 2025) -> Sharks (2025 - 2026),South Africa,South Africa,https://all.rugby/player/marvin-orie,Bulls (2013 - 2016) -> Lions Rugby (2016 - 2019) -> Ospreys (2019 - 2019) -> Lions Rugby (2019 - 2019) -> Ospreys (2020 - 2020) -> Lions Rugby (2020 - 2020) -> Stormers (2020 - 2023) -> Union Sportive Arlequins Perpignanais (2023 - 2024) -> Blue Bulls (2024 - 2024) -> Union Sportive Arlequins Perpignanais (2025 - 2025) -> Blue Bulls (2025 - 2025) -> Sharks (2025 - 2026),,,,,,,,マーヴィン・オリー,urc
Nicolaas JANSE VAN RENSBURG,ニコラス・ヤンセ・ファン・レンズバーグ,FL/No8,Bulls,200.0,116.0,1994.05.06,,,,,A,https://all.rugby/player/nicolaas-janse-van-rensburg,Bulls (2013 - 2016) -> Montpellier Hérault Rugby (2016 - 2025) -> Bulls (2025 - 2026),South Africa,South Africa,https://all.rugby/player/nicolaas-janse-van-rensburg,Bulls (2013 - 2016) -> Montpellier Hérault Rugby (2016 - 2025) -> Bulls (2025 - 2026),,,,,,,,ニコラス・ヤンセ・ファン・レンズバーグ,urc
Handré POLLARD,ハンドレ-ポラード,SO,Bulls,189.0,98.0,1994.03.11,,,,,A,https://all.rugby/player/handre-pollard,Bulls (2013 - 2019) -> Montpellier Hérault Rugby (2019 - 2022) -> Leicester Tigers (2022 - 2025) -> Bulls (2025 - 2026),South Africa,South Africa,https://all.rugby/player/handre-pollard,Bulls (2013 - 2019) -> Montpellier Hérault Rugby (2019 - 2022) -> Leicester Tigers (2022 - 2025) -> Bulls (2025 - 2026),,,,,,,,ハンドレ-ポラード,urc
Hencus VAN WYK,ヘンカス-ファン・ワイク,PR,Stormers,183.0,120.0,1992.03.02,,,,,A,https://all.rugby/player/hencus-van-wyk,Bulls (2015 - 2016) -> Lions Rugby (2016 - 2017) -> Sunwolves (2017 - 2019) -> Central Cheetahs (2019 - 2019) -> Sunwolves (2020 - 2020) -> Central Cheetahs (2020 - 2020) -> Free State Cheetahs (2020 - 2021) -> San Diego Legion (2021 - 2022) -> Central Cheetahs (2022 - 2025) -> Stormers (2025 - 2026),,,https://all.rugby/player/hencus-van-wyk,Bulls (2015 - 2016) -> Lions Rugby (2016 - 2017) -> Sunwolves (2017 - 2019) -> Central Cheetahs (2019 - 2019) -> Sunwolves (2020 - 2020) -> Central Cheetahs (2020 - 2020) -> Free State Cheetahs (2020 - 2021) -> San Diego Legion (2021 - 2022) -> Central Cheetahs (2022 - 2025) -> Stormers (2025 - 2026),,,,,,,,ヘンカス-ファン・ワイク,urc
Duhan VAN DER MERWE,Duhan VAN DER MERWE,WTB,Edimbourg,193.0,106.0,1995.06.04,,,,,A,https://all.rugby/player/duhan-van-der-merwe,Bulls (2015 - 2016) -> Montpellier Hérault Rugby (2016 - 2017) -> Edimbourg Rugby (2017 - 2021) -> Worcester Warriors (2021 - 2022) -> Edimbourg Rugby (2022 - 2022) -> Worcester Warriors (2023 - 2023) -> Edimbourg Rugby (2023 - 2026),South Africa,South Africa,https://all.rugby/player/duhan-van-der-merwe,Bulls (2015 - 2016) -> Montpellier Hérault Rugby (2016 - 2017) -> Edimbourg Rugby (2017 - 2021) -> Worcester Warriors (2021 - 2022) -> Edimbourg Rugby (2022 - 2022) -> Worcester Warriors (2023 - 2023) -> Edimbourg Rugby (2023 - 2026),,,,,,,,ドゥハン-ファン・デル・メルヴァ,
Pierre SCHOEMAN,Pierre SCHOEMAN,PR,Edimbourg,184.0,118.0,1994.05.07,,,,,A,https://all.rugby/player/pierre-schoeman,Bulls (2015 - 2018) -> Edimbourg Rugby (2018 - 2026),South Africa,South Africa,https://all.rugby/player/pierre-schoeman,Bulls (2015 - 2018) -> Edimbourg Rugby (2018 - 2026),,,,,,,,ピエール・スホーマン,
Jannes KIRSTEN,ヤネス-キルステン,FL/No8,Bulls,197.0,117.0,1993.12.01,,,,,A,https://all.rugby/player/jannes-kirsten,Bulls (2015 - 2019) -> Exeter Chiefs (2019 - 2023) -> Bulls (2023 - 2026),,,https://all.rugby/player/jannes-kirsten,Bulls (2015 - 2019) -> Exeter Chiefs (2019 - 2023) -> Bulls (2023 - 2026),,,,,,,,ヤネス-キルステン,urc
RG SNYMAN,RG・スナイマン,LO,Leinster,206.0,131.0,1995.01.29,,,,,A,https://all.rugby/player/rg-snyman,Bulls (2015 - 2019) -> Mie Honda Heat RFC (2019 - 2019) -> Munster Rugby (2019 - 2019) -> Mie Honda Heat RFC (2020 - 2020) -> Munster Rugby (2020 - 2024) -> Leinster Rugby (2024 - 2026),South Africa,South Africa,https://all.rugby/player/rg-snyman,Bulls (2015 - 2019) -> Mie Honda Heat RFC (2019 - 2019) -> Munster Rugby (2019 - 2019) -> Mie Honda Heat RFC (2020 - 2020) -> Munster Rugby (2020 - 2024) -> Leinster Rugby (2024 - 2026),,,,,,,,RG・スナイマン,urc
Jason JENKINS,ジェイソン-ジェンキンス,LO,Sharks,202.0,127.0,1995.12.02,,,,,A,https://all.rugby/player/jason-jenkins,Bulls (2015 - 2019) -> Toyota Verblitz (2019 - 2019) -> Bulls (2019 - 2019) -> Toyota Verblitz (2020 - 2020) -> Bulls (2020 - 2020) -> Toyota Verblitz (2020 - 2021) -> Munster Rugby (2021 - 2022) -> Leinster Rugby (2022 - 2024) -> Sharks (2024 - 2026),South Africa,South Africa,https://all.rugby/player/jason-jenkins,Bulls (2015 - 2019) -> Toyota Verblitz (2019 - 2019) -> Bulls (2019 - 2019) -> Toyota Verblitz (2020 - 2020) -> Bulls (2020 - 2020) -> Toyota Verblitz (2020 - 2021) -> Munster Rugby (2021 - 2022) -> Leinster Rugby (2022 - 2024) -> Sharks (2024 - 2026),,,,,,,,ジェイソン-ジェンキンス,urc
Warrick GELANT,ウォリック・ヘラント,FB,Stormers,180.0,100.0,1995.05.20,,,,,A,https://all.rugby/player/warrick-gelant,Bulls (2015 - 2020) -> Stormers (2020 - 2022) -> Racing 92 (2022 - 2023) -> Stormers (2023 - 2026),South Africa,South Africa,https://all.rugby/player/warrick-gelant,Bulls (2015 - 2020) -> Stormers (2020 - 2022) -> Racing 92 (2022 - 2023) -> Stormers (2023 - 2026),,,,,,,,ウォリック・ヘラント,urc
Rabz MAXWANE,ラブズ・マクスワネ,WTB,Lions,181.0,90.0,1995.08.14,,,,,A,https://all.rugby/player/sibhale-maxwane,Bulls (2016 - 2017) -> Central Cheetahs (2017 - 2020) -> Lions Rugby (2020 - 2026),,,https://all.rugby/player/sibhale-maxwane,Bulls (2016 - 2017) -> Central Cheetahs (2017 - 2020) -> Lions Rugby (2020 - 2026),,,,,,,,ラブズ・マクスワネ,urc
